,ha,hb,hab,pa,pb,pab_c,pab_d,irr_conj,irr_disj
2454,-0.5,0.10000000000000009,0.8,0.9999999999999998,0.34549150281252616,0.9932642277502748,0.8174685537662261,0.6477727249377486,0.1825314462337737
2455,-0.5,0.10000000000000009,0.9000000000000001,0.9999999999999998,0.34549150281252616,0.8796798141156824,0.9715887829470102,0.5341883113031562,0.028411217052989546
2456,-0.5,0.10000000000000009,1.0,0.9999999999999998,0.34549150281252616,0.6564232237067,0.9894886855079641,0.31093172089417387,0.010511314492035684
2457,-0.5,0.20000000000000018,-1.0,0.9999999999999998,0.20610737385376332,0.010511314492036013,0.3435767762932999,-0.1955960593617273,0.6564232237066998
2458,-0.5,0.20000000000000018,-0.9,0.9999999999999998,0.20610737385376332,0.028411217052989376,0.12032018588431734,-0.17769615680077394,0.8796798141156824
2459,-0.5,0.20000000000000018,-0.8,0.9999999999999998,0.20610737385376332,0.1825314462337739,0.006735772249725285,-0.023575927619989417,0.9932642277502745
2460,-0.5,0.20000000000000018,-0.7,0.9999999999999998,0.20610737385376332,0.4283538889427527,0.03563275062693823,0.2222465150889894,0.9643672493730615
2461,-0.5,0.20000000000000018,-0.6,0.9999999999999998,0.20610737385376332,0.6948714701916927,0.19866408041237166,0.4887640963379294,0.8013359195876282
2462,-0.5,0.20000000000000018,-0.5,0.9999999999999998,0.20610737385376332,0.9050997481197381,0.44873764906864877,0.6989923742659748,0.551262350931351
2463,-0.5,0.20000000000000018,-0.3999999999999999,0.9999999999999998,0.20610737385376332,0.9983132116827412,0.7136184953566602,0.7922058378289779,0.28638150464333956
2464,-0.5,0.20000000000000018,-0.29999999999999993,0.9999999999999998,0.20610737385376332,0.9475868406207979,0.9167947547029871,0.7414794667670346,0.08320524529701268
2465,-0.5,0.20000000000000018,-0.19999999999999996,0.9999999999999998,0.20610737385376332,0.7675731230165596,0.999578124942121,0.5614657491627962,0.00042187505787882884
2466,-0.5,0.20000000000000018,-0.09999999999999998,0.9999999999999998,0.20610737385376332,0.5102697986577039,0.9380562529563299,0.3041624248039406,0.061943747043669894
2467,-0.5,0.20000000000000018,0.0,0.9999999999999998,0.20610737385376332,0.25,0.75,0.04389262614623668,0.24999999999999978
2468,-0.5,0.20000000000000018,0.10000000000000009,0.9999999999999998,0.20610737385376332,0.06194374704367034,0.48973020134229606,-0.14416362681009298,0.5102697986577037
2469,-0.5,0.20000000000000018,0.20000000000000018,0.9999999999999998,0.20610737385376332,0.0004218750578790972,0.23242687698344033,-0.20568549879588421,0.7675731230165594
2470,-0.5,0.20000000000000018,0.30000000000000004,0.9999999999999998,0.20610737385376332,0.08320524529701309,0.052413159379202635,-0.12290212855675023,0.9475868406207971
2471,-0.5,0.20000000000000018,0.40000000000000013,0.9999999999999998,0.20610737385376332,0.2863815046433399,0.0016867883172585615,0.08027413078957657,0.9983132116827412
2472,-0.5,0.20000000000000018,0.5,0.9999999999999998,0.20610737385376332,0.5512623509313511,0.0949002518802621,0.3451549770775878,0.9050997481197377
2473,-0.5,0.20000000000000018,0.6000000000000001,0.9999999999999998,0.20610737385376332,0.8013359195876286,0.30512852980830774,0.5952285457338653,0.694871470191692
2474,-0.5,0.20000000000000018,0.7000000000000002,0.9999999999999998,0.20610737385376332,0.9643672493730618,0.571646111057247,0.7582598755192985,0.4283538889427527
